venta_id,producto_id,cantidad_producto,subtotal
VTA_58891350,PROD_936987,20,2372.6
VTA_58891350,PROD_855885,12,343.44
VTA_72627050,PROD_174268,6,779.1
VTA_72627050,PROD_618728,7,821.31
VTA_72627050,PROD_163266,16,2096.48
VTA_72627050,PROD_292033,12,1241.76
VTA_72627050,PROD_468334,1,122.41
VTA_72627050,PROD_823363,17,1133.73
VTA_76248819,PROD_719350,16,2228.64
VTA_76248819,PROD_975271,7,321.65
VTA_76248819,PROD_030803,8,494.4
VTA_76248819,PROD_448331,12,942.48
VTA_76248819,PROD_151025,1,146.33
VTA_07833593,PROD_207361,1,60.54
VTA_07833593,PROD_380278,14,931.98
VTA_07833593,PROD_779028,6,672.96
VTA_07833593,PROD_172332,12,83.52
VTA_07833593,PROD_147392,17,1334.5
VTA_97353581,PROD_068902,3,276.75
VTA_97353581,PROD_618141,12,103.68
VTA_97353581,PROD_273618,7,203.42
VTA_97353581,PROD_055845,5,249.0
VTA_64078788,PROD_769975,17,2323.22
VTA_64078788,PROD_262478,1,131.98
VTA_64078788,PROD_281037,11,623.48
VTA_64078788,PROD_068865,8,820.0
VTA_64078788,PROD_827017,17,1779.73
VTA_64078788,PROD_397426,6,295.2
VTA_55701172,PROD_481939,11,1273.03
VTA_55701172,PROD_834647,13,287.69
VTA_55701172,PROD_735600,5,194.55
VTA_55701172,PROD_684586,6,340.26
VTA_55701172,PROD_903344,5,621.55
VTA_55701172,PROD_892441,1,68.98
VTA_55701172,PROD_870995,18,700.56
VTA_96778671,PROD_294668,20,1368.4
VTA_96778671,PROD_827017,9,942.21
VTA_96778671,PROD_445049,11,39.93
VTA_96778671,PROD_519513,3,104.1
VTA_96778671,PROD_467222,2,295.36
VTA_96778671,PROD_193740,13,755.3
VTA_96778671,PROD_377444,17,205.53
VTA_17601593,PROD_072433,14,431.76
VTA_17601593,PROD_130007,7,133.56
VTA_17601593,PROD_180750,1,108.8
VTA_35664166,PROD_396904,18,390.78
VTA_35664166,PROD_401269,17,770.1
VTA_35664166,PROD_695658,17,1330.59
VTA_35664166,PROD_338721,13,430.3
VTA_35664166,PROD_828608,1,62.36
VTA_50842792,PROD_281037,9,510.12
VTA_50842792,PROD_622225,9,196.92
VTA_50842792,PROD_333705,7,686.84
VTA_50842792,PROD_523373,16,125.12
VTA_11147798,PROD_734437,19,2045.54
VTA_11147798,PROD_298651,16,627.04
VTA_11147798,PROD_854752,19,1601.13
VTA_11147798,PROD_328143,16,2000.32
VTA_37571559,PROD_951069,10,1082.4
VTA_37571559,PROD_170162,6,125.76
VTA_37571559,PROD_904423,8,723.76
VTA_37571559,PROD_173845,5,210.7
VTA_37571559,PROD_694877,16,940.8
VTA_37571559,PROD_229833,11,1013.1
VTA_37571559,PROD_872078,17,99.45
VTA_37571559,PROD_695658,18,1408.86
VTA_58561402,PROD_061024,4,379.16
VTA_58561402,PROD_598646,1,83.79
VTA_58561402,PROD_477296,19,2429.15
VTA_30098461,PROD_994600,1,94.89
VTA_30098461,PROD_733579,19,1455.59
VTA_30098461,PROD_809502,18,134.46
VTA_30098461,PROD_285388,3,257.67
VTA_83092607,PROD_175731,3,142.29
VTA_83092607,PROD_035854,2,79.42
VTA_83092607,PROD_451481,10,1003.9
VTA_83092607,PROD_413021,19,2349.35
VTA_83092607,PROD_523531,9,454.5
VTA_83092607,PROD_412006,13,1935.31
VTA_83092607,PROD_129323,4,151.32
VTA_83092607,PROD_217786,16,434.72
VTA_28307326,PROD_413021,11,1360.15
VTA_28307326,PROD_827017,8,837.52
VTA_28307326,PROD_636786,8,113.6
VTA_28307326,PROD_785992,19,639.54
VTA_28307326,PROD_160079,2,98.86
VTA_28307326,PROD_897610,8,1025.6
VTA_28307326,PROD_263131,13,637.26
VTA_29932213,PROD_486085,10,1348.1
VTA_11330356,PROD_437364,4,314.08
VTA_11330356,PROD_412006,17,2530.79
VTA_11330356,PROD_018204,4,444.04
VTA_11330356,PROD_059527,20,2580.4
VTA_11330356,PROD_745657,1,93.83
VTA_11330356,PROD_040139,5,397.3
VTA_20336564,PROD_830658,4,124.88
VTA_20336564,PROD_936893,19,210.14
VTA_93943048,PROD_636601,14,1552.18
VTA_93943048,PROD_503229,12,1160.28
VTA_93943048,PROD_641013,14,492.38
VTA_57686711,PROD_758843,19,2125.34
VTA_57686711,PROD_630761,15,957.15
VTA_57686711,PROD_658225,10,173.1
VTA_57686711,PROD_775336,11,507.32
VTA_57686711,PROD_683023,7,1030.54
VTA_57686711,PROD_335770,3,12.96
VTA_57686711,PROD_391504,10,568.0
VTA_57686711,PROD_542822,12,1325.88
VTA_53990689,PROD_974963,3,73.86
VTA_53990689,PROD_585721,2,280.86
VTA_53990689,PROD_123505,20,1480.2
VTA_53990689,PROD_937845,1,67.43
VTA_53990689,PROD_411145,19,32.87
VTA_53990689,PROD_652616,17,1188.47
VTA_92052420,PROD_652616,16,1118.56
VTA_04133926,PROD_949153,1,68.28
VTA_04133926,PROD_217786,19,516.23
VTA_39420394,PROD_411145,14,24.22
VTA_39420394,PROD_352692,12,976.2
VTA_39420394,PROD_612870,14,1861.58
VTA_39420394,PROD_855543,4,71.96
VTA_39420394,PROD_399058,5,175.45
VTA_87922494,PROD_819335,19,1830.65
VTA_87922494,PROD_807982,19,1961.37
VTA_87922494,PROD_827017,19,1989.11
VTA_87922494,PROD_193204,5,101.25
VTA_87922494,PROD_232047,12,487.2
VTA_87922494,PROD_809502,15,112.05
VTA_88514056,PROD_233025,18,2493.36
VTA_88514056,PROD_084536,14,1619.1
VTA_88514056,PROD_928162,11,739.64
VTA_88514056,PROD_117762,19,442.89
VTA_88514056,PROD_484692,4,464.84
VTA_59858035,PROD_270037,7,237.37
VTA_04206205,PROD_748644,16,2056.8
VTA_44160810,PROD_011814,10,246.1
VTA_44160810,PROD_484333,10,70.0
VTA_37049982,PROD_540196,15,1639.5
VTA_37049982,PROD_777545,20,2187.0
VTA_37049982,PROD_738447,6,235.02
VTA_37049982,PROD_116387,19,2461.83
VTA_37049982,PROD_383135,13,1386.45
VTA_37049982,PROD_878703,6,320.46
VTA_37049982,PROD_500354,14,1450.96
VTA_27299406,PROD_820169,11,289.41
VTA_27299406,PROD_286718,4,53.16
VTA_92630458,PROD_742429,14,1678.46
VTA_92630458,PROD_490316,8,1059.84
VTA_92630458,PROD_089948,15,1974.3
VTA_92630458,PROD_180108,9,781.11
VTA_92630458,PROD_293005,7,643.23
VTA_92630458,PROD_918533,15,637.2
VTA_92630458,PROD_352006,8,550.32
VTA_92630458,PROD_795163,18,1570.86
VTA_02091036,PROD_700914,8,1137.2
VTA_02091036,PROD_379067,12,1130.04
VTA_02091036,PROD_069575,10,1219.2
VTA_02091036,PROD_827225,4,567.8
VTA_02091036,PROD_994600,9,854.01
VTA_02091036,PROD_833124,11,1253.56
VTA_02091036,PROD_719442,12,720.84
VTA_74399003,PROD_645397,8,455.44
VTA_74399003,PROD_719328,18,84.42
VTA_74399003,PROD_810125,7,693.49
VTA_02647849,PROD_504057,3,290.61
VTA_56762981,PROD_778042,7,864.99
VTA_56762981,PROD_820169,3,78.93
VTA_56762981,PROD_748644,9,1156.95
VTA_56519752,PROD_841518,9,1313.1
VTA_56519752,PROD_882774,19,1635.33
VTA_56519752,PROD_669067,6,543.24
VTA_56519752,PROD_798228,16,1707.04
VTA_56519752,PROD_069529,7,883.68
VTA_59508941,PROD_854752,3,252.81
VTA_59508941,PROD_928162,14,941.36
VTA_59508941,PROD_777545,2,218.7
VTA_59508941,PROD_456177,8,1179.92
VTA_59508941,PROD_618728,8,938.64
VTA_59508941,PROD_872078,17,99.45
VTA_59508941,PROD_994600,10,948.9
VTA_59508941,PROD_845728,3,371.85
VTA_94541450,PROD_674531,17,1686.06
VTA_94541450,PROD_722459,17,1548.7
VTA_94541450,PROD_211055,8,242.88
VTA_94541450,PROD_810125,15,1486.05
VTA_94541450,PROD_808870,20,389.4
VTA_66595997,PROD_193919,19,764.18
VTA_66595997,PROD_028899,11,42.02
VTA_66595997,PROD_735600,8,311.28
VTA_84519701,PROD_334572,3,258.09
VTA_84519701,PROD_397426,9,442.8
VTA_84519701,PROD_617200,3,106.98
VTA_84519701,PROD_135308,5,699.85
VTA_84519701,PROD_686776,18,1694.34
VTA_84519701,PROD_104954,1,139.28
VTA_84519701,PROD_960727,9,398.7
VTA_21980571,PROD_226043,8,1112.32
VTA_21980571,PROD_787519,5,576.8
VTA_21980571,PROD_786397,15,1948.35
VTA_21980571,PROD_585721,15,2106.45
VTA_21980571,PROD_711324,14,1868.86
VTA_04766302,PROD_646603,16,527.68
VTA_26522847,PROD_701708,11,1064.36
VTA_26522847,PROD_854752,17,1432.59
VTA_26522847,PROD_760248,8,797.68
VTA_26522847,PROD_446017,14,919.1
VTA_26522847,PROD_083368,3,56.4
VTA_26522847,PROD_342130,18,1396.98
VTA_26522847,PROD_447433,17,2518.38
VTA_26522847,PROD_974963,7,172.34
VTA_43891690,PROD_894841,20,156.8
VTA_43891690,PROD_306638,11,33.99
VTA_43891690,PROD_072433,19,585.96
VTA_43891690,PROD_951488,18,2196.72
VTA_43891690,PROD_637377,18,1365.12
VTA_99779447,PROD_562809,17,200.26
VTA_97022648,PROD_936987,20,2372.6
VTA_97022648,PROD_097409,7,163.03
VTA_97022648,PROD_238955,3,171.48
VTA_97022648,PROD_008750,8,580.32
VTA_97022648,PROD_652307,5,53.55
VTA_97022648,PROD_514817,20,2662.2
VTA_97022648,PROD_353795,10,911.4
VTA_06751909,PROD_427895,1,86.32
VTA_06751909,PROD_898042,11,416.46
VTA_06751909,PROD_161339,13,736.84
VTA_06751909,PROD_620997,2,184.16
VTA_06751909,PROD_791120,11,1273.58
VTA_06751909,PROD_581574,11,1510.52
VTA_45692047,PROD_673018,13,253.89
VTA_45692047,PROD_084061,20,316.8
VTA_45692047,PROD_603715,15,954.45
VTA_45692047,PROD_878703,19,1014.79
VTA_45692047,PROD_117682,3,82.98
VTA_45692047,PROD_293396,17,572.9
VTA_45692047,PROD_630331,3,195.81
VTA_22683644,PROD_774589,19,2785.21
VTA_22683644,PROD_686776,14,1317.82
VTA_22683644,PROD_163266,19,2489.57
VTA_22683644,PROD_011814,13,319.93
VTA_22683644,PROD_709908,13,100.49
VTA_22683644,PROD_063328,2,289.32
VTA_22683644,PROD_135308,18,2519.46
VTA_78765750,PROD_755702,10,507.3
VTA_52183988,PROD_612870,10,1329.7
VTA_52183988,PROD_204931,7,10.85
VTA_52183988,PROD_219919,3,326.31
VTA_60197346,PROD_490316,4,529.92
VTA_60197346,PROD_222058,2,74.44
VTA_60197346,PROD_774589,10,1465.9
VTA_60197346,PROD_779028,4,448.64
VTA_60197346,PROD_334572,8,688.24
VTA_60197346,PROD_028899,13,49.66
VTA_60197346,PROD_084119,16,349.28
VTA_60197346,PROD_364777,15,1485.0
VTA_43435621,PROD_353795,1,91.14
VTA_43435621,PROD_856275,6,723.54
VTA_43435621,PROD_507982,18,328.68
VTA_43435621,PROD_490251,20,1254.0
VTA_43435621,PROD_141994,9,905.85
VTA_43435621,PROD_268366,10,1307.8
VTA_43435621,PROD_951069,7,757.68
VTA_57184592,PROD_735261,4,594.68
VTA_57184592,PROD_294975,18,1416.06
VTA_57184592,PROD_083059,8,222.96
VTA_57184592,PROD_244360,11,714.67
VTA_57184592,PROD_416904,19,1564.46
VTA_57184592,PROD_173117,2,131.56
VTA_57184592,PROD_361230,20,1463.4
VTA_57184592,PROD_798097,10,926.6
VTA_66722443,PROD_125256,6,830.76
VTA_66722443,PROD_802126,18,188.28
VTA_66722443,PROD_117762,16,372.96
VTA_20306693,PROD_966036,7,481.53
VTA_20306693,PROD_919179,19,1409.8
VTA_20306693,PROD_833124,20,2279.2
VTA_20306693,PROD_810125,7,693.49
VTA_20306693,PROD_991446,20,427.0
VTA_20306693,PROD_958980,6,838.44
VTA_20306693,PROD_399058,11,385.99
VTA_20306693,PROD_974963,13,320.06
VTA_94699636,PROD_809502,17,126.99
VTA_94699636,PROD_019181,14,1142.12
VTA_94699636,PROD_204671,3,306.69
VTA_94699636,PROD_460232,13,439.01
VTA_97737101,PROD_882774,9,774.63
VTA_97737101,PROD_380278,8,532.56
VTA_97737101,PROD_798228,9,960.21
VTA_97737101,PROD_936668,19,874.0
VTA_97737101,PROD_010981,11,501.49
VTA_97737101,PROD_987511,10,882.8
VTA_97737101,PROD_936893,4,44.24
VTA_16305001,PROD_811663,11,1253.12
VTA_16305001,PROD_658225,1,17.31
VTA_16305001,PROD_333705,10,981.2
VTA_16305001,PROD_518339,12,1323.84
VTA_34409681,PROD_172332,5,34.8
VTA_34409681,PROD_207421,15,1747.05
VTA_34409681,PROD_180108,14,1215.06
VTA_34409681,PROD_484692,17,1975.57
VTA_34409681,PROD_497592,14,1725.78
VTA_90848787,PROD_577497,11,198.44
VTA_90848787,PROD_497592,15,1849.05
VTA_90848787,PROD_652616,13,908.83
VTA_90848787,PROD_163266,13,1703.39
VTA_08798897,PROD_263131,14,686.28
VTA_08798897,PROD_449482,12,564.84
VTA_08798897,PROD_167709,12,71.04
VTA_08798897,PROD_229833,10,921.0
VTA_08798897,PROD_468083,14,570.92
VTA_08798897,PROD_281037,3,170.04
VTA_08798897,PROD_130007,5,95.4
VTA_88272941,PROD_689139,17,474.81
VTA_67568689,PROD_111703,17,166.6
VTA_67568689,PROD_979290,10,970.1
VTA_67568689,PROD_646936,15,1728.6
VTA_67568689,PROD_774589,11,1612.49
VTA_67568689,PROD_735261,3,446.01
VTA_27742083,PROD_904423,9,814.23
VTA_27742083,PROD_827382,14,2007.04
VTA_27742083,PROD_828608,12,748.32
VTA_00666167,PROD_891730,2,260.9
VTA_00666167,PROD_308346,19,1481.24
VTA_00666167,PROD_493803,6,784.44
VTA_00666167,PROD_918533,7,297.36
VTA_00666167,PROD_595999,4,544.12
VTA_00666167,PROD_951488,19,2318.76
VTA_00666167,PROD_822672,12,99.36
VTA_00666167,PROD_824018,2,74.68
VTA_95283100,PROD_116826,12,645.72
VTA_95283100,PROD_582806,13,675.22
VTA_95283100,PROD_574195,5,512.35
VTA_95283100,PROD_722169,17,889.78
VTA_34339529,PROD_173117,17,1118.26
VTA_34339529,PROD_415186,17,180.03
VTA_34339529,PROD_335140,12,228.84
VTA_34339529,PROD_453661,15,1506.15
VTA_55189083,PROD_378222,12,1096.2
VTA_55189083,PROD_152740,19,2140.73
VTA_55189083,PROD_218324,17,869.38
VTA_55189083,PROD_119346,10,778.2
VTA_47604281,PROD_369685,18,491.94
VTA_47604281,PROD_083435,2,171.48
VTA_47604281,PROD_986285,5,177.55
VTA_47604281,PROD_811663,2,227.84
VTA_47604281,PROD_979390,16,1645.76
VTA_47604281,PROD_721880,11,889.46
VTA_47604281,PROD_711479,5,687.8
VTA_04898920,PROD_500354,9,932.76
VTA_04898920,PROD_338721,1,33.1
VTA_04898920,PROD_467222,16,2362.88
VTA_04898920,PROD_964540,8,189.84
VTA_04898920,PROD_560799,4,239.76
VTA_50566117,PROD_556835,16,1684.48
VTA_50566117,PROD_391504,3,170.4
VTA_50566117,PROD_507982,1,18.26
VTA_50566117,PROD_172332,16,111.36
VTA_50566117,PROD_971306,19,945.25
VTA_50566117,PROD_232047,8,324.8
VTA_50566117,PROD_678597,12,1553.76
VTA_50566117,PROD_114761,6,219.72
VTA_44170299,PROD_041628,6,100.38
VTA_44170299,PROD_980335,19,248.9
VTA_44170299,PROD_640246,2,37.86
VTA_44170299,PROD_735261,2,297.34
VTA_84078729,PROD_946989,18,1514.34
VTA_82311937,PROD_577277,16,2156.96
VTA_82311937,PROD_090599,15,1196.25
VTA_58125048,PROD_773830,9,902.07
VTA_58125048,PROD_204931,15,23.25
VTA_58125048,PROD_559077,14,1030.68
VTA_58125048,PROD_991446,11,234.85
VTA_58125048,PROD_658225,18,311.58
VTA_64358826,PROD_229833,19,1749.9
VTA_64358826,PROD_946616,7,803.6
VTA_64358826,PROD_932254,16,100.16
VTA_64358826,PROD_453189,17,54.23
VTA_64358826,PROD_775606,10,1258.0
VTA_58320032,PROD_698034,1,107.92
VTA_78019434,PROD_574195,12,1229.64
VTA_78019434,PROD_658707,17,1461.15
VTA_78019434,PROD_466426,6,407.34
VTA_78019434,PROD_187186,3,271.05
VTA_78019434,PROD_024790,16,571.68
VTA_78019434,PROD_817003,6,318.84
VTA_78019434,PROD_967477,13,1209.91
VTA_96859772,PROD_486085,14,1887.34
VTA_80130380,PROD_579495,12,1734.72
VTA_80130380,PROD_674085,5,342.2
VTA_80130380,PROD_675555,3,135.57
VTA_80130380,PROD_461680,11,1319.23
VTA_80130380,PROD_676370,5,415.95
VTA_80130380,PROD_827017,14,1465.66
VTA_80130380,PROD_678597,16,2071.68
VTA_80130380,PROD_547654,7,885.99
VTA_84040346,PROD_135828,15,1404.9
VTA_84040346,PROD_111703,10,98.0
VTA_84040346,PROD_123745,6,462.3
VTA_84040346,PROD_719350,11,1532.19
VTA_84040346,PROD_630331,6,391.62
VTA_34355678,PROD_435693,2,67.82
VTA_34355678,PROD_595421,15,766.65
VTA_34355678,PROD_827017,3,314.07
VTA_34355678,PROD_752424,12,1276.2
VTA_34355678,PROD_740618,4,457.4
VTA_34355678,PROD_630761,20,1276.2
VTA_63671039,PROD_855543,3,53.97
VTA_63671039,PROD_947452,13,1701.7
VTA_63671039,PROD_436463,5,399.8
VTA_63671039,PROD_807982,19,1961.37
VTA_63671039,PROD_116826,1,53.81
VTA_63671039,PROD_415186,14,148.26
VTA_63671039,PROD_574195,6,614.82
VTA_57077367,PROD_504057,17,1646.79
VTA_29254356,PROD_895906,8,121.84
VTA_29254356,PROD_397426,10,492.0
VTA_29254356,PROD_227601,17,802.91
VTA_29254356,PROD_904423,16,1447.52
VTA_29254356,PROD_073289,1,106.07
VTA_29254356,PROD_511818,20,2766.0
VTA_29254356,PROD_828608,6,374.16
VTA_29254356,PROD_180108,19,1649.01
VTA_81655535,PROD_669067,5,452.7
VTA_81655535,PROD_997731,18,1526.22
VTA_81655535,PROD_719827,15,1966.2
VTA_34221482,PROD_121920,3,167.37
VTA_34221482,PROD_919088,15,541.5
VTA_34221482,PROD_380631,4,43.04
VTA_34221482,PROD_789441,8,1110.72
VTA_34221482,PROD_979290,12,1164.12
VTA_34221482,PROD_437364,5,392.6
VTA_62247800,PROD_468470,18,1681.02
VTA_62247800,PROD_438281,8,764.08
VTA_62247800,PROD_146558,7,423.85
VTA_62247800,PROD_427242,12,1050.84
VTA_62247800,PROD_643443,20,1940.2
VTA_62247800,PROD_723824,10,1054.5
VTA_56812188,PROD_773778,8,559.52
VTA_56812188,PROD_918533,10,424.8
VTA_14831217,PROD_910360,15,1061.1
VTA_85686856,PROD_481939,4,462.92
VTA_85686856,PROD_116682,11,874.17
VTA_85686856,PROD_986285,13,461.63
VTA_85686856,PROD_272254,17,2137.75
VTA_85686856,PROD_944232,11,1629.54
VTA_18056249,PROD_511773,18,919.98
VTA_51504867,PROD_490251,15,940.5
VTA_51504867,PROD_380278,5,332.85
VTA_51504867,PROD_678597,17,2201.16
VTA_51504867,PROD_784592,1,8.04
VTA_51504867,PROD_904803,6,271.32
VTA_28314953,PROD_911662,8,69.12
VTA_28314953,PROD_397426,1,49.2
VTA_09419876,PROD_066181,19,2546.38
VTA_09419876,PROD_919088,6,216.6
VTA_09419876,PROD_585721,6,842.58
VTA_27493123,PROD_350537,15,232.95
VTA_76185896,PROD_303113,12,1647.84
VTA_76185896,PROD_287811,20,301.4
VTA_76185896,PROD_175731,3,142.29
VTA_76185896,PROD_425357,2,20.52
VTA_76185896,PROD_351200,20,1575.4
VTA_76185896,PROD_960727,5,221.5
VTA_77938549,PROD_559166,20,2809.0
VTA_77938549,PROD_370033,1,13.21
VTA_77938549,PROD_011814,12,295.32
VTA_77938549,PROD_343811,11,892.76
VTA_95306507,PROD_828608,20,1247.2
VTA_24561047,PROD_687585,3,383.4
VTA_24561047,PROD_269168,3,431.94
VTA_56165355,PROD_116826,18,968.58
VTA_56165355,PROD_889964,1,60.65
VTA_56165355,PROD_469871,16,1702.4
VTA_56165355,PROD_559077,6,441.72
VTA_56165355,PROD_760746,1,142.57
VTA_85638092,PROD_331734,18,2533.14
VTA_85638092,PROD_442289,9,96.93
VTA_85638092,PROD_232047,14,568.4
VTA_85638092,PROD_568954,20,1020.0
VTA_85638092,PROD_193746,1,93.46
VTA_85638092,PROD_488588,1,86.52
VTA_16512821,PROD_897610,2,256.4
VTA_16512821,PROD_767830,20,742.8
VTA_16512821,PROD_380278,12,798.84
VTA_16512821,PROD_108751,16,1472.48
VTA_16512821,PROD_560799,16,959.04
VTA_88544280,PROD_193919,2,80.44
VTA_88544280,PROD_290051,2,99.44
VTA_88544280,PROD_072433,14,431.76
VTA_88544280,PROD_333705,8,784.96
VTA_24665881,PROD_699296,8,57.84
VTA_24665881,PROD_111265,7,469.28
VTA_24665881,PROD_219033,14,160.86
VTA_97798393,PROD_029575,1,144.04
VTA_97798393,PROD_420363,14,1923.32
VTA_97798393,PROD_096127,13,177.32
VTA_29414851,PROD_173845,9,379.26
VTA_42824512,PROD_612870,7,930.79
VTA_42824512,PROD_941015,7,115.78
VTA_42824512,PROD_342258,16,831.68
VTA_42824512,PROD_947818,2,159.72
VTA_42824512,PROD_855543,14,251.86
VTA_63101315,PROD_960428,15,911.7
VTA_63101315,PROD_326855,3,344.43
VTA_63101315,PROD_029575,3,432.12
VTA_63101315,PROD_717380,17,1185.24
VTA_63101315,PROD_105374,1,17.31
VTA_63101315,PROD_034674,4,556.4
VTA_73649102,PROD_044146,13,1605.76
VTA_73649102,PROD_951069,17,1840.08
VTA_73649102,PROD_146410,18,1125.36
VTA_73649102,PROD_684586,19,1077.49
VTA_73649102,PROD_469999,7,982.45
VTA_73649102,PROD_535076,17,2072.64
VTA_43775443,PROD_306638,3,9.27
VTA_74379450,PROD_265164,10,1491.9
VTA_74379450,PROD_147392,11,863.5
VTA_74379450,PROD_193746,20,1869.2
VTA_74379450,PROD_431790,12,1015.68
VTA_59453801,PROD_272254,4,503.0
VTA_59453801,PROD_640246,6,113.58
VTA_59453801,PROD_397426,8,393.6
VTA_59453801,PROD_610348,9,1095.39
VTA_37286072,PROD_453189,15,47.85
VTA_37286072,PROD_734437,9,968.94
VTA_73921824,PROD_184000,1,64.64
VTA_73921824,PROD_711324,16,2135.84
VTA_73921824,PROD_116826,13,699.53
VTA_73921824,PROD_595421,8,408.88
VTA_82260697,PROD_315464,12,590.16
VTA_82260697,PROD_125256,3,415.38
VTA_82260697,PROD_536345,9,980.73
VTA_82260697,PROD_292033,8,827.84
VTA_82260697,PROD_416616,12,855.96
VTA_82260697,PROD_217786,4,108.68
VTA_46693276,PROD_256651,5,212.25
VTA_46693276,PROD_128711,6,647.52
VTA_46693276,PROD_471786,9,123.12
VTA_03738278,PROD_451481,17,1706.63
VTA_91361047,PROD_908875,18,2003.04
VTA_91361047,PROD_672131,9,538.29
VTA_91361047,PROD_779028,7,785.12
VTA_91361047,PROD_593510,20,1372.6
VTA_54535033,PROD_222182,1,30.37
VTA_54535033,PROD_363075,10,1312.0
VTA_54535033,PROD_293005,9,827.01
VTA_54535033,PROD_161818,15,1651.95
VTA_83180483,PROD_151025,18,2633.94
VTA_98477122,PROD_728780,4,30.28
VTA_98477122,PROD_286736,8,78.56
VTA_98477122,PROD_240110,13,859.95
VTA_98477122,PROD_467222,8,1181.44
VTA_30688910,PROD_523291,5,364.6
VTA_30688910,PROD_672131,2,119.62
VTA_30688910,PROD_820842,1,45.56
VTA_30688910,PROD_309627,1,2.58
VTA_30688910,PROD_814649,4,246.28
VTA_30688910,PROD_811663,7,797.44
VTA_30688910,PROD_256651,5,212.25
VTA_49161636,PROD_141994,20,2013.0
VTA_49161636,PROD_658225,11,190.41
VTA_91991275,PROD_175731,15,711.45
VTA_91991275,PROD_586616,2,168.78
VTA_91991275,PROD_532434,20,2541.6
VTA_91991275,PROD_098774,2,8.0
VTA_91991275,PROD_035854,13,516.23
VTA_91991275,PROD_024790,8,285.84
VTA_91991275,PROD_146468,8,513.44
VTA_91991275,PROD_205459,13,251.81
VTA_04119481,PROD_148931,15,138.6
VTA_04119481,PROD_176565,15,2239.65
VTA_04119481,PROD_851292,7,127.05
VTA_04119481,PROD_068455,18,1204.02
VTA_71391211,PROD_640246,13,246.09
VTA_71391211,PROD_811663,5,569.6
VTA_71391211,PROD_188878,16,909.12
VTA_71391211,PROD_577277,1,134.81
VTA_78298869,PROD_786793,13,1492.01
VTA_78298869,PROD_577277,15,2022.15
VTA_78298869,PROD_377444,1,12.09
VTA_58552860,PROD_765391,7,432.18
VTA_58552860,PROD_878703,17,907.97
VTA_58552860,PROD_111703,15,147.0
VTA_58552860,PROD_029575,17,2448.68
VTA_65709902,PROD_294529,3,239.79
VTA_65709902,PROD_361230,18,1317.06
VTA_65709902,PROD_593510,14,960.82
VTA_65709902,PROD_787289,20,483.6
VTA_65709902,PROD_380278,10,665.7
VTA_52627716,PROD_130007,6,114.48
VTA_52627716,PROD_463592,11,402.49
VTA_52627716,PROD_585100,5,637.25
VTA_52627716,PROD_794491,12,1191.24
VTA_86781168,PROD_348131,10,147.3
VTA_86781168,PROD_223130,16,860.96
VTA_86781168,PROD_946616,2,229.6
VTA_86781168,PROD_777545,8,874.8
VTA_86781168,PROD_235827,7,760.62
VTA_86781168,PROD_365405,14,1171.24
VTA_86781168,PROD_815158,9,733.86
VTA_12779142,PROD_518339,7,772.24
VTA_12779142,PROD_951488,16,1952.64
