venta_id,cliente_id,fecha_venta,monto_total
VTA_94840231,CLI_964004,2025-01-23,624.74
VTA_31644014,CLI_654146,2025-11-06,1965.57
VTA_57850787,CLI_723623,2025-12-04,1718.88
VTA_54873596,CLI_194546,2025-05-19,1126.43
VTA_00757648,CLI_998051,2025-01-13,715.73
VTA_73831089,CLI_063652,2025-12-04,1067.54
VTA_05282563,CLI_128117,2025-07-02,2408.48
VTA_57594016,CLI_735254,2025-11-09,2637.21
VTA_38718398,CLI_652695,2025-09-19,2779.2
VTA_01524543,CLI_280005,2025-07-27,996.46
VTA_58207060,CLI_110634,2025-06-17,2385.45
VTA_08537331,CLI_435642,2025-10-27,1133.52
VTA_32726427,CLI_865146,2025-01-24,99.52
VTA_64717615,CLI_954139,2025-04-04,258.6
VTA_47894038,CLI_238055,2025-08-07,8194.7
VTA_25917791,CLI_300045,2025-10-28,2685.76
VTA_00762992,CLI_299033,2025-02-13,1546.08
VTA_67713492,CLI_635933,2025-01-29,2159.23
VTA_34232940,CLI_194546,2025-11-17,250.51
VTA_87692233,CLI_489519,2025-08-14,4432.27
VTA_72112875,CLI_826513,2025-07-10,2210.61
VTA_66168202,CLI_242283,2025-08-03,4583.98
VTA_64753812,CLI_937553,2025-09-16,1006.78
VTA_43813517,CLI_642827,2025-02-23,3003.91
VTA_64839013,CLI_016490,2026-02-11,815.28
VTA_55414319,CLI_878394,2025-09-09,265.19
VTA_20723128,CLI_133305,2025-03-01,1188.15
VTA_34794046,CLI_287117,2025-09-12,1436.74
VTA_81302329,CLI_401050,2025-11-03,1033.16
VTA_56877427,CLI_207390,2025-01-02,2610.76
VTA_91144110,CLI_430915,2025-11-25,1664.42
VTA_57511105,CLI_004343,2025-09-06,1275.87
VTA_59078096,CLI_055268,2025-05-21,1260.27
VTA_58966603,CLI_243928,2025-08-02,1668.3
VTA_68410501,CLI_251846,2025-06-13,1154.01
VTA_97969586,CLI_357074,2025-12-06,2451.54
VTA_04573904,CLI_275473,2025-04-29,1904.89
VTA_46663058,CLI_448810,2025-08-06,1398.6
VTA_97463364,CLI_208383,2025-07-23,196.34
VTA_37528340,CLI_749181,2026-02-08,1960.24
VTA_02967675,CLI_432308,2025-02-08,52.47
VTA_51810852,CLI_648400,2025-11-12,100.53
VTA_94018472,CLI_120303,2026-01-07,198.08
VTA_26148339,CLI_894080,2025-07-25,1978.66
VTA_66316856,CLI_493013,2025-11-05,3545.5
VTA_59979577,CLI_368940,2025-06-26,1048.28
VTA_09937622,CLI_217846,2025-06-05,809.18
VTA_26580839,CLI_654775,2025-11-08,1355.84
VTA_71559496,CLI_399775,2025-08-05,84.57
VTA_00874802,CLI_088654,2026-01-31,1861.49
VTA_50165730,CLI_735254,2025-03-13,3050.25
VTA_36609856,CLI_708003,2025-01-31,283.54
VTA_92539415,CLI_264424,2025-02-12,658.32
VTA_74296668,CLI_208383,2025-03-06,2698.01
VTA_01721131,CLI_083708,2025-04-16,2419.85
VTA_17701202,CLI_806808,2025-07-06,1568.11
VTA_67352613,CLI_730783,2025-12-31,343.22
VTA_34007190,CLI_643888,2025-03-14,2329.08
VTA_42530796,CLI_792943,2025-10-09,2877.83
VTA_97437334,CLI_632131,2025-04-22,2444.67
VTA_37824173,CLI_753931,2025-11-20,2303.7
VTA_05971813,CLI_745474,2025-05-17,1482.23
VTA_13535505,CLI_023679,2025-06-13,231.84
VTA_90248286,CLI_733092,2025-01-23,3616.58
VTA_68318712,CLI_408044,2025-11-16,2812.73
VTA_73146147,CLI_176815,2025-10-25,1709.21
VTA_47998315,CLI_843351,2025-11-10,4485.9
VTA_09385471,CLI_049095,2025-05-23,4509.61
VTA_42911861,CLI_865146,2025-03-08,1905.8
VTA_79790406,CLI_290784,2026-02-06,1539.8
VTA_61534649,CLI_341934,2025-11-14,278.82
VTA_37329912,CLI_594378,2025-10-20,636.14
VTA_49825116,CLI_813750,2025-09-29,5302.18
VTA_33450223,CLI_788865,2025-11-13,2704.81
VTA_61684239,CLI_679448,2025-12-01,1121.38
VTA_32653969,CLI_235126,2025-07-12,2573.4
VTA_33885433,CLI_021964,2025-08-22,2199.95
VTA_60073896,CLI_399775,2025-01-15,249.03
VTA_15806605,CLI_194546,2025-01-28,393.8
VTA_93256069,CLI_947198,2025-07-29,5463.86
VTA_10100406,CLI_853761,2025-10-07,1913.61
VTA_17196503,CLI_700035,2025-12-25,981.76
VTA_23540676,CLI_194546,2025-07-20,1126.69
VTA_00662006,CLI_056154,2025-04-20,3618.34
VTA_55193331,CLI_026850,2025-01-02,1107.14
VTA_75350237,CLI_644677,2025-08-22,2853.93
VTA_33912007,CLI_513251,2025-11-19,481.67
VTA_02357569,CLI_724535,2026-01-19,4114.44
VTA_45834735,CLI_193477,2026-01-22,751.68
VTA_42305068,CLI_423565,2025-07-08,3926.19
VTA_11720562,CLI_634912,2025-12-06,419.34
VTA_61533857,CLI_745474,2025-06-06,1833.82
VTA_50543520,CLI_428196,2025-05-28,2720.34
VTA_37102052,CLI_571086,2025-12-23,725.52
VTA_91023440,CLI_274151,2025-12-09,2426.31
VTA_61156836,CLI_514775,2025-09-09,1392.87
VTA_38626254,CLI_842127,2025-08-15,282.44
VTA_12768920,CLI_383155,2025-04-08,924.0
VTA_42576050,CLI_202749,2026-01-26,544.82
VTA_65854231,CLI_202262,2025-01-22,616.56
VTA_24222803,CLI_287117,2025-07-27,4832.58
VTA_06319665,CLI_027511,2025-07-06,83.38
VTA_82473263,CLI_521295,2025-07-01,4217.94
VTA_56983580,CLI_090303,2025-05-27,2869.95
VTA_20231224,CLI_643888,2025-07-31,1088.64
VTA_63388682,CLI_856844,2025-07-28,2053.16
VTA_21213777,CLI_090303,2025-10-14,3346.64
VTA_96654423,CLI_884072,2026-02-23,6434.17
VTA_57010961,CLI_290297,2025-08-04,2905.19
VTA_28862221,CLI_177503,2026-02-09,121.44
VTA_23222666,CLI_758212,2026-02-03,552.92
VTA_55817926,CLI_572836,2026-02-27,2773.43
VTA_30028738,CLI_165669,2025-09-03,5583.96
VTA_97032007,CLI_887928,2025-05-30,481.55
VTA_84038903,CLI_759048,2025-06-20,1525.5
VTA_97276372,CLI_730261,2025-06-23,1979.68
VTA_21036284,CLI_074766,2025-10-25,4895.41
VTA_25735546,CLI_035185,2025-02-08,3804.82
VTA_77678610,CLI_820460,2025-08-25,3116.99
VTA_09488794,CLI_894338,2025-07-23,1188.14
VTA_96984054,CLI_343273,2025-08-10,1285.39
VTA_80481971,CLI_160724,2025-04-09,12507.88
VTA_23087485,CLI_854565,2025-04-01,475.87
VTA_10807823,CLI_082912,2025-07-01,5119.11
VTA_29612911,CLI_243060,2025-09-23,1886.14
VTA_81754109,CLI_237357,2025-09-15,4647.94
VTA_27148589,CLI_799512,2025-09-26,2161.25
VTA_97874375,CLI_281793,2025-03-19,1349.31
VTA_55929397,CLI_075256,2025-06-18,6833.94
VTA_96409810,CLI_913060,2025-11-20,533.11
VTA_15893502,CLI_511797,2025-07-20,2703.05
VTA_27635166,CLI_254273,2025-01-06,389.81
VTA_42588401,CLI_471705,2025-07-14,2330.84
VTA_67898324,CLI_538687,2025-08-24,1709.83
VTA_10166178,CLI_432308,2025-08-14,1247.51
VTA_95816428,CLI_470633,2025-10-10,1030.78
VTA_63112513,CLI_165481,2025-07-13,960.86
VTA_74671784,CLI_443367,2025-04-02,477.68
VTA_67058738,CLI_399350,2025-09-17,503.75
VTA_82482090,CLI_649669,2025-11-14,2187.29
VTA_75462232,CLI_875030,2025-01-19,2860.25
VTA_40880734,CLI_443310,2025-08-30,1060.87
VTA_83730856,CLI_884095,2025-12-30,6041.45
VTA_43736611,CLI_116864,2025-12-21,3372.26
VTA_60883747,CLI_735254,2025-06-29,311.22
VTA_07922312,CLI_982661,2025-10-29,1018.45
VTA_78959920,CLI_034396,2025-06-18,3352.56
VTA_57280317,CLI_035304,2025-12-01,1195.54
VTA_68829464,CLI_640394,2025-12-14,89.36
VTA_59775900,CLI_396180,2026-01-07,1585.54
VTA_85255764,CLI_227697,2025-08-09,1291.32
VTA_59127805,CLI_264112,2026-02-04,209.57
VTA_98920704,CLI_264424,2025-06-26,1173.73
VTA_42974695,CLI_290784,2025-10-15,969.76
VTA_31683640,CLI_359189,2025-11-02,253.65
VTA_87390890,CLI_820460,2025-06-12,345.72
VTA_29427124,CLI_316669,2025-05-02,2855.15
VTA_79610118,CLI_744906,2025-11-18,1733.06
VTA_22208958,CLI_913089,2025-12-30,2892.74
VTA_55168747,CLI_471347,2025-01-01,1853.79
VTA_42760713,CLI_446511,2025-08-05,352.74
VTA_97438378,CLI_612877,2025-05-01,56.71
VTA_01376375,CLI_422076,2025-06-25,5357.44
VTA_57571592,CLI_124793,2025-07-15,181.2
VTA_86254731,CLI_679153,2025-08-13,5036.39
VTA_62609906,CLI_740649,2025-05-19,1221.65
VTA_87013499,CLI_529222,2025-05-19,2883.7
VTA_69020542,CLI_150139,2025-09-13,2017.73
VTA_73290417,CLI_420293,2025-02-07,960.34
VTA_92568823,CLI_846433,2025-06-14,810.9
VTA_20535500,CLI_258896,2025-10-06,2040.2
VTA_49565515,CLI_383155,2025-01-05,971.22
VTA_07575429,CLI_567392,2025-08-21,707.44
VTA_03107783,CLI_713965,2025-09-03,2290.36
VTA_03053343,CLI_930094,2025-12-27,1675.6
VTA_07779801,CLI_654775,2025-07-22,1634.66
VTA_12826929,CLI_414772,2026-02-14,2291.5
VTA_37063507,CLI_300045,2025-08-30,3507.12
VTA_78981689,CLI_963526,2026-01-31,2632.88
VTA_76348436,CLI_796492,2025-09-18,20.31
VTA_28141428,CLI_983702,2025-09-30,3616.69
VTA_26817068,CLI_100968,2025-04-05,240.02
VTA_35328145,CLI_175666,2025-03-06,2462.57
VTA_29339498,CLI_151148,2025-03-02,1650.37
VTA_41991505,CLI_644677,2025-10-02,3035.54
VTA_87960509,CLI_035400,2025-11-02,2838.7
VTA_72480816,CLI_864591,2025-06-12,247.74
VTA_81763507,CLI_570011,2025-06-16,870.97
VTA_66448706,CLI_818661,2025-03-11,2406.88
VTA_35395104,CLI_808623,2025-06-09,2444.51
VTA_00016269,CLI_894401,2025-08-03,5350.77
VTA_68951182,CLI_650875,2025-12-17,4261.72
VTA_43800902,CLI_151148,2025-04-06,2065.25
VTA_52159099,CLI_075141,2025-12-06,257.27
VTA_48450801,CLI_836418,2025-11-16,1843.74
VTA_13260137,CLI_706318,2025-04-18,493.1
VTA_41712349,CLI_496924,2025-11-05,4744.89
VTA_91855862,CLI_750016,2025-04-11,494.1
VTA_53294328,CLI_173041,2025-03-20,3089.87
VTA_03469697,CLI_854757,2025-06-11,2425.59
VTA_10268776,CLI_217330,2025-06-07,1994.6
VTA_31666713,CLI_511797,2026-01-14,1895.61
VTA_11773987,CLI_642827,2025-01-25,3889.06
VTA_10163201,CLI_471705,2025-06-13,1163.11
VTA_66352333,CLI_430915,2025-06-28,2321.05
VTA_26316062,CLI_821152,2025-05-28,292.22
VTA_84311401,CLI_672908,2025-08-29,1975.46
VTA_69245949,CLI_467413,2025-10-06,2310.01
VTA_82051739,CLI_181279,2025-11-08,2089.71
VTA_75309661,CLI_275473,2025-06-14,2481.03
VTA_41023525,CLI_491258,2025-10-13,2982.94
VTA_92841549,CLI_609545,2025-12-07,566.0
VTA_18105368,CLI_433754,2025-06-01,1489.69
VTA_00292120,CLI_706318,2025-08-22,294.98
VTA_99729022,CLI_484034,2025-07-17,1331.05
VTA_03264185,CLI_317220,2025-11-18,496.38
VTA_09372049,CLI_181933,2025-07-09,1496.07
VTA_66710161,CLI_228485,2025-08-12,2531.59
VTA_95863204,CLI_270575,2025-07-03,715.88
VTA_95819248,CLI_401050,2025-01-29,3534.12
VTA_10102538,CLI_133260,2025-12-09,925.19
VTA_30136100,CLI_762453,2025-07-01,1945.38
VTA_80319440,CLI_892965,2025-11-23,3971.56
VTA_81677585,CLI_648400,2025-11-04,170.1
VTA_60814338,CLI_826646,2025-05-24,4214.8
VTA_43799238,CLI_930663,2025-08-09,1783.83
VTA_52816029,CLI_146179,2025-08-27,268.93
VTA_47135078,CLI_226756,2025-09-14,1615.39
VTA_03387795,CLI_937066,2025-11-19,2185.04
VTA_50601314,CLI_180923,2025-01-23,101.22
VTA_04285598,CLI_150139,2026-02-15,2290.44
VTA_14477891,CLI_486494,2025-10-07,4338.1
VTA_67696788,CLI_708003,2025-07-03,2994.24
VTA_20487609,CLI_505148,2025-07-20,863.7
VTA_27341243,CLI_638831,2025-01-19,2050.61
VTA_78446275,CLI_448810,2025-11-12,635.44
VTA_54326254,CLI_202624,2025-07-17,2598.32
VTA_84240787,CLI_751360,2025-05-08,773.99
VTA_77647928,CLI_936767,2025-11-24,265.91
VTA_38137239,CLI_667692,2025-04-02,1173.96
VTA_29383626,CLI_967482,2025-03-31,4042.59
VTA_65357257,CLI_955884,2025-08-09,1239.14
VTA_27389549,CLI_753931,2025-11-15,2391.24
VTA_32387612,CLI_861175,2025-01-01,4342.58
VTA_94033168,CLI_450811,2025-11-16,725.68
VTA_77781827,CLI_007283,2025-06-01,1852.41
VTA_53711183,CLI_672207,2025-08-02,2090.52
VTA_89580299,CLI_883464,2025-10-30,2392.25
VTA_00195000,CLI_930094,2025-12-21,547.09
VTA_04048004,CLI_642827,2025-04-15,2273.92
VTA_79963820,CLI_782226,2025-09-13,355.65
VTA_81792427,CLI_700035,2025-11-15,5047.57
VTA_31435480,CLI_987487,2025-10-02,105.72
VTA_53626229,CLI_604368,2025-08-08,782.19
VTA_93356537,CLI_372895,2025-06-11,277.24
VTA_23968536,CLI_603975,2026-01-28,399.39
VTA_00136438,CLI_505148,2025-09-09,494.28
VTA_48093818,CLI_300045,2025-04-18,314.58
VTA_39619591,CLI_697813,2025-09-06,625.06
VTA_23253261,CLI_866036,2025-12-03,3200.68
VTA_49276785,CLI_416636,2025-12-13,869.44
VTA_06094002,CLI_971550,2025-02-03,3734.09
VTA_65701792,CLI_340301,2025-09-29,2473.95
VTA_66605298,CLI_549690,2025-06-27,3302.33
VTA_44676093,CLI_275473,2025-12-05,460.65
VTA_58446592,CLI_446511,2025-01-02,1248.22
VTA_05280550,CLI_228331,2025-10-11,23.86
VTA_32720838,CLI_204190,2025-09-26,2938.41
VTA_19677910,CLI_183323,2025-06-28,3629.06
VTA_29533131,CLI_642385,2025-02-26,2528.04
VTA_30777064,CLI_581901,2025-10-19,1876.22
VTA_46820719,CLI_010435,2025-08-21,2530.8
VTA_11797925,CLI_133305,2025-07-27,27.24
VTA_63903257,CLI_870685,2025-10-05,2220.35
VTA_54365060,CLI_180923,2025-03-26,382.22
VTA_87796677,CLI_696801,2025-01-18,1465.19
VTA_14246669,CLI_788865,2025-09-27,5327.32
VTA_20356061,CLI_893415,2025-05-02,2247.41
VTA_47776041,CLI_336085,2025-01-01,3260.51
VTA_85045058,CLI_048645,2026-02-26,393.67
VTA_47185100,CLI_981351,2026-01-05,2162.12
VTA_40110064,CLI_511387,2025-01-08,3155.92
VTA_92217198,CLI_383155,2025-07-06,2819.42
VTA_73473660,CLI_802512,2026-02-18,1241.32
VTA_16420363,CLI_026495,2026-02-04,5163.79
VTA_34264520,CLI_319092,2025-12-30,197.66
VTA_50118212,CLI_080333,2025-05-09,5711.39
VTA_92922560,CLI_481367,2025-07-10,4213.84
VTA_25040163,CLI_785244,2025-12-02,2520.88
VTA_11955149,CLI_187275,2025-11-09,1119.58
VTA_85452134,CLI_634912,2025-11-29,32.43
VTA_83444128,CLI_804790,2025-06-02,1790.53
VTA_79764474,CLI_831880,2025-04-01,2209.16
VTA_54366701,CLI_126851,2026-02-22,2969.09
VTA_68690392,CLI_010435,2025-12-09,1581.56
VTA_38852940,CLI_415797,2025-04-21,2007.4
VTA_89711596,CLI_044724,2025-01-10,202.4
VTA_87973348,CLI_692624,2025-07-31,1495.52
VTA_71901212,CLI_481266,2025-02-27,5198.36
VTA_42096174,CLI_202262,2025-12-10,1741.25
VTA_54305526,CLI_568682,2025-03-23,1302.2
VTA_34335995,CLI_341934,2025-05-16,1300.58
VTA_59512766,CLI_281793,2025-05-24,1235.68
VTA_74270254,CLI_730432,2025-10-07,224.39
VTA_87784804,CLI_595577,2025-07-17,1197.13
VTA_06695195,CLI_431652,2025-08-08,754.76
VTA_44539409,CLI_842127,2025-11-13,1238.39
VTA_54202325,CLI_654146,2025-06-09,1388.93
VTA_19304474,CLI_649997,2025-07-06,1060.41
VTA_54383010,CLI_467172,2025-06-12,1043.6
VTA_62116289,CLI_075891,2025-10-23,1898.91
VTA_39233523,CLI_276535,2025-04-04,2906.24
VTA_52313674,CLI_853761,2025-12-20,263.51
VTA_42108688,CLI_936767,2025-04-16,733.5
VTA_78185420,CLI_775299,2025-11-18,2957.88
VTA_69375396,CLI_673021,2025-04-17,8245.07
VTA_12367045,CLI_912604,2025-12-03,221.38
VTA_06852126,CLI_567392,2025-05-21,101.84
VTA_68470344,CLI_704784,2025-12-21,1559.35
VTA_47423134,CLI_340053,2025-06-30,197.22
VTA_46517777,CLI_381308,2025-10-01,741.78
VTA_29722438,CLI_227697,2025-04-11,258.23
VTA_38595291,CLI_489055,2025-04-24,1207.03
VTA_52402464,CLI_083708,2025-01-12,2822.14
VTA_16298879,CLI_414404,2025-12-28,1124.01
VTA_55569161,CLI_572836,2025-08-06,988.54
VTA_41002566,CLI_894338,2026-02-22,3174.57
VTA_78940650,CLI_623991,2025-08-01,4331.25
VTA_35283164,CLI_293919,2025-12-25,550.39
VTA_73167314,CLI_134285,2025-12-29,4071.16
VTA_00127826,CLI_265774,2026-02-14,354.78
VTA_49777086,CLI_169876,2025-02-04,323.35
VTA_55895757,CLI_330963,2025-12-14,4659.92
VTA_59754436,CLI_930094,2025-11-12,900.56
VTA_33801799,CLI_123653,2025-07-31,1009.86
VTA_52019993,CLI_638797,2025-05-27,145.9
VTA_65465067,CLI_061962,2025-11-26,791.93
VTA_70475918,CLI_743522,2025-11-06,483.99
VTA_19223639,CLI_859351,2025-05-26,3223.9
VTA_81968995,CLI_539701,2025-12-18,2996.8
VTA_26719270,CLI_443183,2025-06-20,560.57
VTA_93496509,CLI_175686,2025-04-09,1834.49
VTA_58015997,CLI_893415,2025-05-14,919.19
VTA_32711791,CLI_672908,2025-12-24,942.33
VTA_04449068,CLI_306338,2025-07-23,4387.63
VTA_70182306,CLI_977902,2025-06-01,1464.95
VTA_72691135,CLI_866438,2025-09-14,3991.11
VTA_56337637,CLI_743523,2025-05-26,1968.66
VTA_14750034,CLI_912604,2025-03-31,9.3
VTA_47274366,CLI_775098,2025-11-23,539.64
VTA_63235189,CLI_971550,2025-11-10,3881.82
VTA_83996731,CLI_275473,2025-09-14,3276.18
VTA_93267208,CLI_542495,2025-11-17,3815.21
VTA_00764112,CLI_500690,2025-11-07,2419.6
VTA_95511952,CLI_884095,2025-02-22,1352.58
VTA_80256308,CLI_317220,2025-05-27,2084.16
VTA_40366127,CLI_791936,2026-02-22,127.71
VTA_64188321,CLI_952171,2025-06-03,2547.42
VTA_80844370,CLI_936678,2025-02-05,4067.84
VTA_80540798,CLI_116864,2025-08-06,789.15
VTA_61180368,CLI_971550,2025-04-20,675.22
VTA_64461222,CLI_300975,2025-10-28,1781.69
VTA_35548938,CLI_364513,2025-12-17,1664.86
VTA_99996683,CLI_686939,2026-01-24,2331.15
VTA_15763135,CLI_876960,2025-02-10,354.18
VTA_85634620,CLI_542495,2025-06-26,168.13
VTA_31451908,CLI_095799,2025-10-28,112.36
VTA_71938118,CLI_232971,2025-12-18,160.36
VTA_98470068,CLI_843351,2025-04-29,193.51
VTA_58363261,CLI_104354,2025-05-04,1665.05
VTA_21380364,CLI_427905,2025-05-15,2987.01
VTA_31179615,CLI_116526,2025-07-12,3279.44
VTA_23899129,CLI_986228,2025-04-29,1408.06
VTA_60228240,CLI_876597,2025-12-24,2250.33
VTA_44274336,CLI_969725,2025-09-17,2779.18
VTA_37316403,CLI_588096,2025-10-09,3165.7
VTA_39946879,CLI_700035,2025-07-23,506.83
VTA_17885940,CLI_649890,2025-07-13,3423.27
VTA_97666527,CLI_528925,2025-10-24,6649.46
VTA_67375490,CLI_867080,2025-05-22,1190.93
VTA_61141018,CLI_137580,2025-01-18,1480.99
VTA_65148181,CLI_177503,2025-06-21,4715.47
VTA_54965827,CLI_539701,2025-10-21,1096.87
VTA_31897503,CLI_593311,2025-12-28,2380.58
VTA_21677606,CLI_431144,2025-12-22,4332.91
VTA_17020045,CLI_146179,2025-01-14,998.91
VTA_82027025,CLI_806808,2025-08-21,1313.68
VTA_34787767,CLI_501801,2025-09-08,294.39
VTA_02028876,CLI_654146,2025-01-31,3362.07
VTA_02390631,CLI_484837,2025-09-30,66.18
VTA_78512745,CLI_037719,2026-01-03,1108.17
VTA_20927212,CLI_183665,2025-03-25,2420.8
VTA_74589230,CLI_234505,2025-11-11,535.78
VTA_28947789,CLI_508835,2025-07-09,3319.64
VTA_83188859,CLI_137580,2025-09-14,3329.01
VTA_17822636,CLI_181933,2025-10-16,678.65
VTA_51884467,CLI_414772,2025-07-27,96.84
VTA_98233328,CLI_969725,2025-09-03,943.75
VTA_66712209,CLI_864591,2025-10-09,3712.38
VTA_92088863,CLI_836418,2025-06-13,2118.93
VTA_56852111,CLI_642081,2025-01-26,3775.21
VTA_91986015,CLI_711762,2025-12-12,5621.91
VTA_71416587,CLI_095799,2025-02-15,1255.57
VTA_74788170,CLI_952623,2025-05-14,740.01
VTA_20577201,CLI_237357,2025-01-08,4561.53
VTA_65909653,CLI_530637,2025-08-17,495.72
VTA_32313882,CLI_464427,2025-10-30,1842.63
VTA_67787726,CLI_833709,2025-10-28,2584.38
VTA_37732591,CLI_899702,2025-06-19,2542.68
VTA_46227394,CLI_568682,2025-03-02,1314.17
VTA_90020954,CLI_876229,2025-11-23,1329.08
VTA_95889702,CLI_710029,2025-09-02,2359.01
VTA_56137256,CLI_436778,2025-11-13,2888.4
VTA_82119577,CLI_712861,2025-06-29,4310.7
VTA_95585582,CLI_782226,2025-11-06,2353.06
VTA_46557615,CLI_862708,2025-07-09,381.59
VTA_01962306,CLI_074755,2025-02-27,906.95
VTA_47534812,CLI_422076,2025-08-28,1637.09
VTA_80454819,CLI_287122,2026-01-11,1719.85
VTA_51854216,CLI_884072,2025-07-18,3382.95
VTA_85995206,CLI_098998,2025-07-09,66.3
VTA_46244909,CLI_733896,2025-08-16,6250.2
VTA_20681974,CLI_040839,2025-09-29,2408.37
VTA_02880263,CLI_422076,2025-12-17,4689.19
VTA_12059822,CLI_870699,2025-04-15,4475.69
VTA_02806706,CLI_038266,2025-07-07,28.68
VTA_45121586,CLI_397186,2025-10-17,345.73
VTA_17298733,CLI_549690,2025-03-01,273.42
VTA_97110872,CLI_724535,2025-12-17,5150.68
VTA_05358689,CLI_290784,2025-11-21,522.0
VTA_74595265,CLI_969725,2025-11-18,1190.4
VTA_70650619,CLI_090303,2025-08-30,1958.46
VTA_41588309,CLI_592686,2025-04-27,1667.86
VTA_44106177,CLI_074755,2025-06-02,1613.97
