cliente_id,rubro_cliente,subrubro_1,subrubro_2,sede_cliente
CLI_368940,Restaurante,Vegetariano,Delivery + Salón,Arequipa
CLI_547461,Hotel,Resort,Restaurante Propio,Cusco
CLI_630365,Supermercado,Gourmet,Online + Tienda,Arequipa
CLI_006997,Panadería,Francesa,Local + Distribución,Cusco
CLI_120303,Farmacia,Independiente,Autoservicio,Cusco
CLI_571086,Restaurante,Fusión,Delivery + Salón,Piura
CLI_264684,Fast Food,Sándwiches,Drive-Thru,Arequipa
CLI_435642,Cafetería,Moderna,Salón,Arequipa
CLI_133260,Restaurante,Japonés,Delivery + Salón,Cusco
CLI_799789,Bodega,Mixta,Mostrador + Delivery,Piura
CLI_666768,Panadería,Pastelería,Local Propio,Lima
CLI_703193,Catering,Eventos Corporativos,Off-Site,Cusco
CLI_835219,Restaurante,Criollo,Dark Kitchen,Cusco
CLI_884072,Farmacia,Naturista,Drive-Thru,Cusco
CLI_705466,Farmacia,Naturista,Mostrador,Cusco
CLI_646936,Hotel,Turístico,Restaurante Propio,Lima
CLI_341934,Panadería,Francesa,Local + Distribución,Lima
CLI_339655,Bodega,Mixta,Mostrador,Piura
CLI_692624,Catering,Eventos Corporativos,Off-Site,Piura
CLI_593311,Hotel,Boutique,Solo Alojamiento,Cusco
CLI_903972,Restaurante,Carnes,Dark Kitchen,Piura
CLI_775299,Panadería,Industrial,Distribución,Arequipa
CLI_813750,Supermercado,Formato Grande,Solo Online,Arequipa
CLI_104354,Restaurante,Japonés,Dark Kitchen,Piura
CLI_785490,Bar,Karaoke,Presencial + Eventos,Cusco
CLI_490060,Hotel,Resort,Restaurante Propio,Arequipa
CLI_735254,Panadería,Integral,Local + Distribución,Lima
CLI_484837,Hotel,Apart-hotel,Desayuno Incluido,Arequipa
CLI_964004,Minimarket,Gasolinera,24 Horas,Arequipa
CLI_553136,Hotel,Hostal,Restaurante Propio,Cusco
CLI_963526,Hotel,Apart-hotel,Restaurante Propio,Piura
CLI_122457,Hotel,Turístico,Solo Alojamiento,Lima
CLI_217330,Panadería,Repostería,Local + Distribución,Piura
CLI_160724,Fast Food,Tacos,Salón,Arequipa
CLI_750016,Restaurante,Marino,Para Llevar,Lima
CLI_642531,Bodega,Licorería,Autoservicio,Cusco
CLI_290297,Fast Food,Pizza,Salón,Arequipa
CLI_441525,Bodega,Barrio,Mostrador,Arequipa
CLI_098557,Restaurante,Chifa,Delivery + Salón,Cusco
CLI_919463,Bodega,Licorería,Mostrador,Cusco
CLI_553333,Hotel,Business,Todo Incluido,Piura
CLI_593788,Restaurante,Pollería,Dark Kitchen,Piura
CLI_117096,Restaurante,Marino,Delivery,Cusco
CLI_686939,Supermercado,Orgánico,Online + Tienda,Arequipa
CLI_432053,Restaurante,Pollería,Delivery + Salón,Cusco
CLI_088654,Restaurante,Italiano,Para Llevar,Lima
CLI_165948,Minimarket,Universitario,Tienda + Delivery,Arequipa
CLI_607956,Ferretería,General,Catálogo Online,Arequipa
CLI_435760,Minimarket,Gasolinera,24 Horas,Lima
CLI_289610,Fast Food,Tacos,Delivery,Piura
CLI_635933,Catering,Escolar,Mixto,Arequipa
CLI_643312,Hotel,Apart-hotel,Restaurante Propio,Cusco
CLI_081788,Restaurante,Criollo,Delivery,Lima
CLI_511669,Cafetería,Especialidad,Para Llevar,Cusco
CLI_967722,Restaurante,Italiano,Delivery,Cusco
CLI_654775,Catering,Matrimonios,Off-Site,Cusco
CLI_126851,Farmacia,Cadena,Drive-Thru,Lima
CLI_458098,Bodega,Mayorista,Autoservicio,Arequipa
CLI_333023,Bar,Cervecería,Presencial,Lima
CLI_712861,Hotel,Apart-hotel,Solo Alojamiento,Cusco
CLI_021964,Minimarket,Barrio,Tienda Física,Arequipa
CLI_266084,Bodega,Barrio,Mostrador,Lima
CLI_720351,Panadería,Integral,Local Propio,Lima
CLI_957508,Fast Food,Pizza,Salón,Lima
CLI_730261,Panadería,Pastelería,Distribución,Arequipa
CLI_368694,Restaurante,Italiano,Dark Kitchen,Piura
CLI_027833,Hotel,Boutique,Todo Incluido,Cusco
CLI_062806,Ferretería,Industrial,Autoservicio,Arequipa
CLI_878394,Restaurante,Italiano,Delivery + Salón,Cusco
CLI_870685,Minimarket,Universitario,24 Horas,Arequipa
CLI_364630,Restaurante,Italiano,Para Llevar,Arequipa
CLI_670645,Panadería,Francesa,Distribución,Piura
CLI_641263,Bar,Sports Bar,Presencial + Eventos,Lima
CLI_937553,Panadería,Repostería,Distribución,Arequipa
CLI_743522,Bodega,Barrio,Mostrador,Cusco
CLI_692101,Bodega,Mixta,Autoservicio,Cusco
CLI_305887,Ferretería,Mayorista,Catálogo Online,Piura
CLI_121705,Supermercado,Orgánico,Tienda Física,Arequipa
CLI_603975,Minimarket,Universitario,Tienda Física,Cusco
CLI_964638,Hotel,Boutique,Desayuno Incluido,Piura
CLI_588531,Supermercado,Formato Mediano,Online + Tienda,Piura
CLI_826513,Bodega,Mixta,Autoservicio,Lima
CLI_916768,Fast Food,Pollo,Solo Delivery,Lima
CLI_065674,Hotel,Boutique,Restaurante Propio,Lima
CLI_294862,Fast Food,Wraps,Solo Delivery,Lima
CLI_443183,Cafetería,Moderna,Salón + Delivery,Arequipa
CLI_512141,Farmacia,Cadena,Autoservicio,Lima
CLI_499897,Bodega,Licorería,Mostrador + Delivery,Piura
CLI_484034,Supermercado,Mayorista,Solo Online,Piura
CLI_048645,Bodega,Abarrotes,Mostrador,Lima
CLI_340053,Minimarket,Gasolinera,Tienda + Delivery,Arequipa
CLI_729619,Restaurante,Fusión,Delivery + Salón,Cusco
CLI_971550,Minimarket,Gasolinera,Tienda + Delivery,Piura
CLI_181933,Cafetería,Saludable,Salón + Delivery,Arequipa
CLI_572836,Panadería,Integral,Local + Distribución,Cusco
CLI_652695,Panadería,Repostería,Local + Distribución,Piura
CLI_166816,Cafetería,Especialidad,Salón + Delivery,Lima
CLI_144425,Fast Food,Wraps,Salón,Cusco
CLI_123653,Catering,Eventos Corporativos,Mixto,Piura
CLI_568682,Minimarket,Universitario,24 Horas,Cusco
CLI_529222,Restaurante,Carnes,Para Llevar,Cusco
CLI_972163,Bodega,Abarrotes,Mostrador + Delivery,Cusco
CLI_090967,Hotel,Business,Solo Alojamiento,Piura
CLI_961652,Bodega,Mixta,Autoservicio,Piura
CLI_471705,Panadería,Artesanal,Local Propio,Piura
CLI_672207,Minimarket,Express,24 Horas,Piura
CLI_918199,Fast Food,Wraps,Salón,Cusco
CLI_998051,Supermercado,Formato Mediano,Solo Online,Arequipa
CLI_498411,Bodega,Mixta,Mostrador + Delivery,Piura
CLI_032616,Cafetería,Temática,Para Llevar,Cusco
CLI_061132,Hotel,Hostal,Solo Alojamiento,Arequipa
CLI_937066,Minimarket,Express,24 Horas,Lima
CLI_169876,Cafetería,Saludable,Co-Working,Arequipa
CLI_944937,Minimarket,24 Horas,Tienda Física,Cusco
CLI_657553,Supermercado,Formato Mediano,Tienda Física,Lima
CLI_251846,Restaurante,Fusión,Dark Kitchen,Cusco
CLI_845404,Restaurante,Fusión,Delivery + Salón,Arequipa
CLI_875030,Cafetería,Saludable,Co-Working,Lima
CLI_047796,Bar,Karaoke,Reservas,Cusco
CLI_893665,Minimarket,Express,24 Horas,Arequipa
CLI_572002,Restaurante,Fusión,Delivery + Salón,Cusco
CLI_232971,Fast Food,Árabe,Drive-Thru,Cusco
CLI_210570,Panadería,Artesanal,Local Propio,Lima
CLI_280528,Minimarket,24 Horas,Tienda + Delivery,Arequipa
CLI_289542,Fast Food,Árabe,Delivery,Piura
CLI_499673,Panadería,Francesa,Local + Distribución,Cusco
CLI_152281,Minimarket,Gasolinera,24 Horas,Cusco
CLI_951226,Catering,Social,Off-Site,Cusco
CLI_036008,Hotel,Boutique,Desayuno Incluido,Piura
CLI_909919,Minimarket,Gasolinera,24 Horas,Cusco
CLI_295735,Catering,Social,Mixto,Arequipa
CLI_848773,Bodega,Abarrotes,Mostrador + Delivery,Piura
CLI_521295,Minimarket,Express,Tienda Física,Cusco
CLI_252593,Bodega,Mayorista,Autoservicio,Cusco
CLI_171749,Farmacia,Homeopática,Autoservicio,Lima
CLI_967482,Fast Food,Árabe,Salón,Piura
CLI_366644,Restaurante,Fusión,Delivery + Salón,Lima
CLI_075256,Fast Food,Tacos,Salón,Cusco
CLI_952623,Supermercado,Formato Mediano,Tienda Física,Cusco
CLI_592686,Restaurante,Japonés,Delivery + Salón,Lima
CLI_500144,Restaurante,Japonés,Delivery + Salón,Arequipa
CLI_892965,Fast Food,Árabe,Salón,Arequipa
CLI_850939,Restaurante,Pollería,Para Llevar,Piura
CLI_255865,Supermercado,Mayorista,Tienda Física,Cusco
CLI_759048,Supermercado,Formato Mediano,Solo Online,Arequipa
CLI_370294,Panadería,Integral,Local + Distribución,Arequipa
CLI_153722,Fast Food,Tacos,Salón + Delivery,Lima
CLI_767310,Restaurante,Criollo,Delivery + Salón,Arequipa
CLI_114540,Minimarket,Gasolinera,Tienda Física,Arequipa
CLI_780477,Fast Food,Sándwiches,Solo Delivery,Piura
CLI_122112,Fast Food,Pollo,Salón + Delivery,Arequipa
CLI_226511,Fast Food,Hamburguesas,Delivery,Arequipa
CLI_838448,Restaurante,Japonés,Para Llevar,Piura
CLI_239926,Bodega,Mixta,Mostrador + Delivery,Cusco
CLI_383155,Farmacia,Cadena,Autoservicio,Piura
CLI_947426,Cafetería,Especialidad,Salón,Cusco
CLI_267709,Cafetería,Moderna,Co-Working,Cusco
CLI_984097,Panadería,Integral,Local + Distribución,Lima
CLI_165669,Restaurante,Carnes,Para Llevar,Arequipa
CLI_025555,Farmacia,Homeopática,Mostrador,Cusco
CLI_553014,Minimarket,Express,Tienda + Delivery,Lima
CLI_342444,Restaurante,Criollo,Para Llevar,Cusco
CLI_818661,Bodega,Abarrotes,Mostrador,Piura
CLI_344761,Fast Food,Sándwiches,Drive-Thru,Cusco
CLI_440227,Minimarket,Universitario,Tienda Física,Lima
CLI_134285,Fast Food,Árabe,Solo Delivery,Arequipa
CLI_538687,Panadería,Integral,Distribución,Arequipa
CLI_632131,Catering,Social,On-Site,Cusco
CLI_316669,Minimarket,24 Horas,Tienda + Delivery,Piura
CLI_340301,Fast Food,Pollo,Drive-Thru,Cusco
CLI_648400,Farmacia,Homeopática,Autoservicio,Piura
CLI_514775,Bodega,Abarrotes,Mostrador,Lima
CLI_838075,Fast Food,Pizza,Solo Delivery,Cusco
CLI_802808,Restaurante,Carnes,Para Llevar,Lima
CLI_853761,Supermercado,Formato Mediano,Tienda Física,Piura
CLI_555192,Supermercado,Formato Mediano,Tienda Física,Arequipa
CLI_817402,Bar,Vinos,Presencial + Eventos,Piura
CLI_132831,Cafetería,Moderna,Para Llevar,Arequipa
CLI_077476,Panadería,Francesa,Distribución,Arequipa
CLI_588096,Minimarket,Express,24 Horas,Arequipa
CLI_242283,Hotel,Hostal,Todo Incluido,Piura
CLI_870680,Fast Food,Tacos,Delivery,Piura
CLI_261619,Minimarket,Barrio,24 Horas,Arequipa
CLI_066067,Restaurante,Italiano,Para Llevar,Piura
CLI_020554,Minimarket,Barrio,Tienda + Delivery,Lima
CLI_642081,Cafetería,Tradicional,Salón + Delivery,Arequipa
CLI_771915,Catering,Matrimonios,Off-Site,Lima
CLI_327964,Panadería,Industrial,Distribución,Piura
CLI_753931,Restaurante,Pollería,Delivery,Arequipa
CLI_672908,Panadería,Industrial,Local + Distribución,Arequipa
CLI_136772,Bodega,Mixta,Mostrador + Delivery,Cusco
CLI_080333,Restaurante,Vegetariano,Dark Kitchen,Cusco
CLI_970020,Minimarket,24 Horas,24 Horas,Lima
CLI_277446,Bar,Cervecería,Presencial + Eventos,Piura
CLI_528536,Bodega,Abarrotes,Mostrador,Lima
CLI_922916,Bodega,Licorería,Mostrador + Delivery,Lima
CLI_010435,Bodega,Mayorista,Mostrador,Arequipa
CLI_718345,Restaurante,Criollo,Para Llevar,Arequipa
CLI_450811,Cafetería,Especialidad,Salón,Lima
CLI_708003,Catering,Eventos Corporativos,On-Site,Piura
CLI_876229,Restaurante,Chifa,Dark Kitchen,Arequipa
CLI_359189,Bodega,Barrio,Mostrador + Delivery,Cusco
CLI_730432,Restaurante,Vegetariano,Para Llevar,Arequipa
CLI_399775,Cafetería,Moderna,Salón + Delivery,Piura
CLI_238890,Restaurante,Japonés,Salón,Cusco
CLI_152409,Hotel,Apart-hotel,Solo Alojamiento,Arequipa
CLI_484755,Restaurante,Carnes,Dark Kitchen,Cusco
CLI_492238,Restaurante,Buffet,Salón,Arequipa
CLI_027511,Bodega,Abarrotes,Mostrador,Cusco
CLI_374480,Bodega,Barrio,Mostrador + Delivery,Arequipa
CLI_281793,Hotel,Apart-hotel,Restaurante Propio,Lima
CLI_044724,Cafetería,Temática,Para Llevar,Piura
CLI_183665,Restaurante,Chifa,Delivery,Arequipa
CLI_916808,Catering,Eventos Corporativos,On-Site,Arequipa
CLI_158306,Restaurante,Vegetariano,Salón,Piura
CLI_280622,Minimarket,24 Horas,24 Horas,Cusco
CLI_034672,Catering,Industrial,On-Site,Lima
CLI_549531,Ferretería,Mayorista,Autoservicio,Arequipa
CLI_095799,Panadería,Artesanal,Distribución,Lima
CLI_577795,Bodega,Mayorista,Autoservicio,Cusco
CLI_237357,Minimarket,24 Horas,Tienda Física,Arequipa
CLI_519843,Bar,Vinos,Presencial,Cusco
CLI_604368,Restaurante,Chifa,Delivery,Arequipa
CLI_059788,Cafetería,Temática,Salón,Lima
CLI_131197,Minimarket,Express,Tienda + Delivery,Cusco
CLI_969725,Panadería,Industrial,Local + Distribución,Piura
CLI_107587,Minimarket,Gasolinera,Tienda Física,Lima
CLI_259172,Restaurante,Italiano,Dark Kitchen,Arequipa
CLI_422021,Restaurante,Pollería,Para Llevar,Lima
CLI_984351,Restaurante,Vegetariano,Delivery + Salón,Cusco
CLI_724700,Supermercado,Orgánico,Solo Online,Arequipa
CLI_137580,Bar,Karaoke,Reservas,Cusco
CLI_640394,Cafetería,Saludable,Para Llevar,Arequipa
CLI_035400,Cafetería,Temática,Para Llevar,Lima
CLI_101208,Bodega,Mixta,Autoservicio,Arequipa
CLI_826333,Supermercado,Mayorista,Online + Tienda,Piura
CLI_422076,Minimarket,Gasolinera,24 Horas,Lima
CLI_955884,Cafetería,Especialidad,Salón + Delivery,Cusco
CLI_238055,Fast Food,Pollo,Salón + Delivery,Piura
CLI_912100,Restaurante,Vegetariano,Delivery,Cusco
CLI_299033,Bodega,Mayorista,Mostrador + Delivery,Arequipa
CLI_907571,Hotel,Hostal,Todo Incluido,Piura
CLI_799512,Restaurante,Buffet,Dark Kitchen,Arequipa
CLI_654146,Catering,Escolar,Off-Site,Cusco
CLI_042337,Restaurante,Italiano,Delivery,Arequipa
CLI_692377,Bodega,Licorería,Mostrador + Delivery,Arequipa
CLI_612877,Bodega,Licorería,Mostrador + Delivery,Arequipa
CLI_074755,Hotel,Hostal,Desayuno Incluido,Piura
CLI_249728,Restaurante,Carnes,Salón,Cusco
CLI_035185,Panadería,Artesanal,Local + Distribución,Arequipa
CLI_800087,Bodega,Abarrotes,Mostrador + Delivery,Piura
CLI_624077,Hotel,Apart-hotel,Desayuno Incluido,Lima
CLI_182697,Minimarket,24 Horas,Tienda + Delivery,Arequipa
CLI_423565,Minimarket,Express,24 Horas,Lima
CLI_552643,Fast Food,Wraps,Delivery,Arequipa
CLI_696152,Panadería,Pastelería,Distribución,Lima
CLI_667692,Supermercado,Orgánico,Online + Tienda,Cusco
CLI_751725,Minimarket,Barrio,Tienda + Delivery,Cusco
CLI_316524,Catering,Escolar,Mixto,Arequipa
CLI_986228,Cafetería,Especialidad,Para Llevar,Cusco
CLI_228485,Supermercado,Gourmet,Online + Tienda,Lima
CLI_165481,Minimarket,24 Horas,Tienda + Delivery,Piura
CLI_181039,Bodega,Mixta,Autoservicio,Arequipa
CLI_271747,Panadería,Artesanal,Distribución,Lima
CLI_493013,Restaurante,Japonés,Delivery + Salón,Lima
CLI_007283,Catering,Social,On-Site,Lima
CLI_182275,Minimarket,Universitario,24 Horas,Arequipa
CLI_947198,Minimarket,24 Horas,24 Horas,Lima
CLI_751360,Bodega,Mayorista,Mostrador,Arequipa
CLI_501801,Supermercado,Orgánico,Tienda Física,Cusco
CLI_416636,Minimarket,Universitario,24 Horas,Arequipa
CLI_485627,Panadería,Repostería,Local Propio,Cusco
CLI_893415,Restaurante,Carnes,Para Llevar,Piura
CLI_200154,Cafetería,Saludable,Co-Working,Lima
CLI_796492,Supermercado,Formato Grande,Solo Online,Lima
CLI_836418,Restaurante,Criollo,Salón,Lima
CLI_389273,Restaurante,Criollo,Delivery,Arequipa
CLI_923876,Restaurante,Japonés,Delivery + Salón,Piura
CLI_194546,Restaurante,Chifa,Delivery,Arequipa
CLI_919140,Panadería,Repostería,Local + Distribución,Arequipa
CLI_857729,Panadería,Artesanal,Local + Distribución,Arequipa
CLI_062363,Fast Food,Wraps,Solo Delivery,Lima
CLI_888042,Restaurante,Criollo,Dark Kitchen,Arequipa
CLI_642484,Restaurante,Carnes,Dark Kitchen,Cusco
CLI_704058,Minimarket,Barrio,24 Horas,Arequipa
CLI_643888,Catering,Social,On-Site,Arequipa
CLI_467172,Fast Food,Sándwiches,Solo Delivery,Arequipa
CLI_570117,Minimarket,Gasolinera,Tienda + Delivery,Cusco
CLI_193477,Restaurante,Buffet,Delivery,Lima
CLI_857469,Supermercado,Formato Grande,Solo Online,Piura
CLI_754597,Farmacia,Independiente,Drive-Thru,Piura
CLI_166384,Cafetería,Moderna,Para Llevar,Piura
CLI_414772,Bodega,Abarrotes,Autoservicio,Arequipa
CLI_262369,Cafetería,Especialidad,Para Llevar,Piura
CLI_775597,Fast Food,Wraps,Delivery,Arequipa
CLI_501617,Catering,Industrial,On-Site,Piura
CLI_862708,Ferretería,Mayorista,Mostrador,Lima
CLI_526357,Panadería,Repostería,Local + Distribución,Arequipa
CLI_399350,Cafetería,Tradicional,Salón + Delivery,Arequipa
CLI_976756,Bodega,Licorería,Mostrador,Piura
CLI_097102,Bodega,Mayorista,Mostrador + Delivery,Arequipa
CLI_049095,Restaurante,Buffet,Para Llevar,Arequipa
CLI_373210,Fast Food,Sándwiches,Solo Delivery,Piura
CLI_022332,Minimarket,Universitario,24 Horas,Cusco
CLI_649669,Ferretería,General,Mostrador,Arequipa
CLI_270575,Minimarket,Barrio,24 Horas,Cusco
CLI_300975,Fast Food,Pizza,Drive-Thru,Lima
CLI_415797,Bodega,Mayorista,Mostrador + Delivery,Lima
CLI_430075,Supermercado,Formato Mediano,Tienda Física,Piura
CLI_443310,Catering,Industrial,Off-Site,Lima
CLI_709173,Supermercado,Orgánico,Tienda Física,Lima
CLI_364513,Bodega,Licorería,Autoservicio,Arequipa
CLI_697739,Farmacia,Cadena,Autoservicio,Piura
CLI_559379,Restaurante,Chifa,Dark Kitchen,Arequipa
CLI_128117,Bodega,Mixta,Mostrador,Lima
CLI_606215,Hotel,Hostal,Todo Incluido,Arequipa
CLI_201436,Minimarket,24 Horas,Tienda Física,Piura
CLI_913776,Fast Food,Pizza,Delivery,Arequipa
CLI_843351,Hotel,Business,Solo Alojamiento,Lima
CLI_280005,Hotel,Business,Desayuno Incluido,Lima
CLI_720285,Hotel,Hostal,Todo Incluido,Piura
CLI_724535,Minimarket,24 Horas,Tienda + Delivery,Piura
CLI_711558,Hotel,Hostal,Desayuno Incluido,Piura
CLI_072226,Cafetería,Saludable,Co-Working,Arequipa
CLI_061962,Minimarket,Express,Tienda Física,Arequipa
CLI_335802,Fast Food,Sándwiches,Drive-Thru,Piura
CLI_446511,Fast Food,Pizza,Delivery,Lima
CLI_116864,Fast Food,Pizza,Drive-Thru,Arequipa
CLI_456421,Cafetería,Saludable,Salón + Delivery,Piura
CLI_811954,Restaurante,Fusión,Salón,Lima
CLI_264424,Catering,Escolar,On-Site,Piura
CLI_627345,Supermercado,Formato Mediano,Solo Online,Piura
CLI_059686,Minimarket,24 Horas,Tienda Física,Piura
CLI_075141,Minimarket,Universitario,Tienda + Delivery,Lima
CLI_486494,Catering,Industrial,Mixto,Cusco
CLI_427905,Minimarket,Universitario,Tienda Física,Cusco
CLI_705532,Bodega,Barrio,Mostrador + Delivery,Arequipa
CLI_452556,Minimarket,Barrio,Tienda Física,Cusco
CLI_743523,Supermercado,Mayorista,Solo Online,Arequipa
CLI_181279,Supermercado,Mayorista,Solo Online,Lima
CLI_866036,Bodega,Licorería,Autoservicio,Lima
CLI_023679,Hotel,Resort,Todo Incluido,Cusco
CLI_759864,Panadería,Integral,Distribución,Piura
CLI_175666,Hotel,Hostal,Solo Alojamiento,Arequipa
CLI_023642,Bodega,Barrio,Mostrador,Lima
CLI_575538,Cafetería,Tradicional,Salón,Piura
CLI_952410,Panadería,Industrial,Distribución,Arequipa
CLI_988569,Bodega,Barrio,Mostrador + Delivery,Cusco
CLI_688423,Supermercado,Gourmet,Online + Tienda,Piura
CLI_435722,Cafetería,Moderna,Co-Working,Cusco
CLI_513251,Cafetería,Temática,Salón,Piura
CLI_782226,Fast Food,Pollo,Drive-Thru,Piura
CLI_666750,Supermercado,Formato Grande,Tienda Física,Cusco
CLI_885217,Minimarket,Gasolinera,24 Horas,Arequipa
CLI_074553,Minimarket,Universitario,Tienda Física,Piura
CLI_530631,Minimarket,Barrio,Tienda + Delivery,Arequipa
CLI_524634,Panadería,Pastelería,Local Propio,Piura
CLI_821152,Minimarket,Gasolinera,24 Horas,Lima
CLI_818740,Cafetería,Moderna,Salón + Delivery,Cusco
CLI_534280,Fast Food,Árabe,Solo Delivery,Lima
CLI_846433,Cafetería,Tradicional,Para Llevar,Arequipa
CLI_366565,Bodega,Licorería,Mostrador,Arequipa
CLI_740649,Minimarket,Universitario,24 Horas,Piura
CLI_658012,Panadería,Pastelería,Distribución,Arequipa
CLI_638797,Panadería,Repostería,Distribución,Cusco
CLI_122772,Minimarket,24 Horas,Tienda Física,Cusco
CLI_503702,Restaurante,Pollería,Delivery + Salón,Piura
CLI_274151,Restaurante,Japonés,Para Llevar,Lima
CLI_489519,Cafetería,Temática,Salón + Delivery,Piura
CLI_784659,Panadería,Francesa,Local + Distribución,Cusco
CLI_432308,Fast Food,Árabe,Salón,Piura
CLI_099404,Bodega,Licorería,Mostrador + Delivery,Arequipa
CLI_345317,Panadería,Artesanal,Local + Distribución,Cusco
CLI_065766,Hotel,Business,Solo Alojamiento,Arequipa
CLI_481266,Bodega,Mixta,Autoservicio,Arequipa
CLI_319092,Cafetería,Saludable,Para Llevar,Piura
